disease,diseaseLabel,dis_type,drug,drugLabel,drug_type,rp
http://www.wikidata.org/entity/Q834047,schizoaffective disorder,disease,http://www.wikidata.org/entity/Q568,lithium,drug,can be treated by
http://www.wikidata.org/entity/Q41112,schizophrenia,disease,http://www.wikidata.org/entity/Q58375,thioridazine,drug,can be treated by
http://www.wikidata.org/entity/Q2306782,hypochromic anemia,disease,http://www.wikidata.org/entity/Q677,iron,drug,can be treated by
http://www.wikidata.org/entity/Q954674,iron deficiency anemia,disease,http://www.wikidata.org/entity/Q677,iron,drug,can be treated by
http://www.wikidata.org/entity/Q1088156,chronic lymphocytic leukemia,disease,http://www.wikidata.org/entity/Q18936,doxorubicin,drug,can be treated by
http://www.wikidata.org/entity/Q504775,bladder cancer,disease,http://www.wikidata.org/entity/Q18936,doxorubicin,drug,can be treated by
http://www.wikidata.org/entity/Q53660452,primary mediastinal B-cell lymphoma,disease,http://www.wikidata.org/entity/Q18936,doxorubicin,drug,can be treated by
http://www.wikidata.org/entity/Q56014469,bone sarcoma,disease,http://www.wikidata.org/entity/Q18936,doxorubicin,drug,can be treated by
http://www.wikidata.org/entity/Q17635591,plasmablastic lymphoma,disease,http://www.wikidata.org/entity/Q18936,doxorubicin,drug,can be treated by
http://www.wikidata.org/entity/Q18553445,mature T-cell and NK-cell lymphoma,disease,http://www.wikidata.org/entity/Q18936,doxorubicin,drug,can be treated by
http://www.wikidata.org/entity/Q4833719,B-cell lymphoma,disease,http://www.wikidata.org/entity/Q18936,doxorubicin,drug,can be treated by
http://www.wikidata.org/entity/Q18975047,hematologic cancer,disease,http://www.wikidata.org/entity/Q18936,doxorubicin,drug,can be treated by
http://www.wikidata.org/entity/Q2157462,schizophreniform disorder,disease,http://www.wikidata.org/entity/Q58376,fluphenazine,drug,can be treated by
http://www.wikidata.org/entity/Q41112,schizophrenia,disease,http://www.wikidata.org/entity/Q58376,fluphenazine,drug,can be treated by
http://www.wikidata.org/entity/Q2346396,iritis,disease,http://www.wikidata.org/entity/Q29310,tropicamide,drug,can be treated by
http://www.wikidata.org/entity/Q334655,amenorrhea,disease,http://www.wikidata.org/entity/Q26963,progesterone,drug,can be treated by
http://www.wikidata.org/entity/Q741713,panic disorder,disease,http://www.wikidata.org/entity/Q58396,imipramine,drug,can be treated by
http://www.wikidata.org/entity/Q19000444,neurotic disorder,disease,http://www.wikidata.org/entity/Q58396,imipramine,drug,can be treated by
http://www.wikidata.org/entity/Q40878,diarrhea,disease,http://www.wikidata.org/entity/Q104334,carbonic acid,drug,can be treated by
http://www.wikidata.org/entity/Q2157462,schizophreniform disorder,disease,http://www.wikidata.org/entity/Q58375,thioridazine,drug,can be treated by
http://www.wikidata.org/entity/Q19000444,neurotic disorder,disease,http://www.wikidata.org/entity/Q58356,amoxapine,drug,can be treated by
http://www.wikidata.org/entity/Q1138590,non-Hodgkin lymphoma,disease,http://www.wikidata.org/entity/Q18936,doxorubicin,drug,can be treated by
http://www.wikidata.org/entity/Q757838,keratitis,disease,http://www.wikidata.org/entity/Q29310,tropicamide,drug,can be treated by
http://www.wikidata.org/entity/Q145790,iridocyclitis,disease,http://www.wikidata.org/entity/Q29310,tropicamide,drug,can be treated by
http://www.wikidata.org/entity/Q133823,migraine,disease,http://www.wikidata.org/entity/Q58397,amitriptyline,drug,can be treated by
http://www.wikidata.org/entity/Q41112,schizophrenia,disease,http://www.wikidata.org/entity/Q58614,loxapine,drug,can be treated by
http://www.wikidata.org/entity/Q1472,Crohn's disease,disease,http://www.wikidata.org/entity/Q18939,azathioprine,drug,can be treated by
http://www.wikidata.org/entity/Q2626074,diffuse large B-cell lymphoma,disease,http://www.wikidata.org/entity/Q18936,doxorubicin,drug,can be treated by
http://www.wikidata.org/entity/Q1607658,hepatoblastoma,disease,http://www.wikidata.org/entity/Q18936,doxorubicin,drug,can be treated by
http://www.wikidata.org/entity/Q2501186,transitional cell carcinoma,disease,http://www.wikidata.org/entity/Q18936,doxorubicin,drug,can be treated by
http://www.wikidata.org/entity/Q79928,acne,disease,http://www.wikidata.org/entity/Q29417,tretinoin,drug,can be treated by
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,disease,http://www.wikidata.org/entity/Q58396,imipramine,drug,can be treated by
http://www.wikidata.org/entity/Q12192,pneumonia,disease,http://www.wikidata.org/entity/Q118551,clarithromycin,drug,can be treated by
http://www.wikidata.org/entity/Q8285,myasthenia gravis,disease,http://www.wikidata.org/entity/Q18939,azathioprine,drug,can be treated by
http://www.wikidata.org/entity/Q19000444,neurotic disorder,disease,http://www.wikidata.org/entity/Q58397,amitriptyline,drug,can be treated by
http://www.wikidata.org/entity/Q2157462,schizophreniform disorder,disease,http://www.wikidata.org/entity/Q58614,loxapine,drug,can be treated by
http://www.wikidata.org/entity/Q264118,acute myeloid leukemia,disease,http://www.wikidata.org/entity/Q29417,tretinoin,drug,can be treated by
http://www.wikidata.org/entity/Q612108,acute promyelocytic leukemia,disease,http://www.wikidata.org/entity/Q29417,tretinoin,drug,can be treated by
http://www.wikidata.org/entity/Q1477,ulcerative colitis,disease,http://www.wikidata.org/entity/Q18939,azathioprine,drug,can be treated by
http://www.wikidata.org/entity/Q178190,obsessive-compulsive disorder,disease,http://www.wikidata.org/entity/Q58713,clomipramine,drug,can be treated by
http://www.wikidata.org/entity/Q1485,systemic lupus erythematosus,disease,http://www.wikidata.org/entity/Q18939,azathioprine,drug,can be treated by
http://www.wikidata.org/entity/Q11085,Parkinson's disease,disease,http://www.wikidata.org/entity/Q28128,budipine,drug,can be treated by
http://www.wikidata.org/entity/Q8277,multiple sclerosis,disease,http://www.wikidata.org/entity/Q18939,azathioprine,drug,can be treated by
http://www.wikidata.org/entity/Q1361144,nutrition disorder,disease,http://www.wikidata.org/entity/Q43656,cholesterol,drug,can be treated by
http://www.wikidata.org/entity/Q741713,panic disorder,disease,http://www.wikidata.org/entity/Q58713,clomipramine,drug,can be treated by
http://www.wikidata.org/entity/Q19000444,neurotic disorder,disease,http://www.wikidata.org/entity/Q58713,clomipramine,drug,can be treated by
http://www.wikidata.org/entity/Q540571,fibromyalgia,disease,http://www.wikidata.org/entity/Q58397,amitriptyline,drug,can be treated by
http://www.wikidata.org/entity/Q35869,asthma,disease,http://www.wikidata.org/entity/Q32921,halothane,drug,can be treated by
http://www.wikidata.org/entity/Q686574,endometrial hyperplasia,disease,http://www.wikidata.org/entity/Q26963,progesterone,drug,can be treated by
http://www.wikidata.org/entity/Q36956,leprosy,disease,http://www.wikidata.org/entity/Q118551,clarithromycin,drug,can be treated by
http://www.wikidata.org/entity/Q638729,autoimmune thrombocytopenic purpura,disease,http://www.wikidata.org/entity/Q18939,azathioprine,drug,can be treated by
http://www.wikidata.org/entity/Q949302,skin disease,disease,http://www.wikidata.org/entity/Q29417,tretinoin,drug,can be treated by
http://www.wikidata.org/entity/Q187255,rheumatoid arthritis,disease,http://www.wikidata.org/entity/Q18939,azathioprine,drug,can be treated by
http://www.wikidata.org/entity/Q612108,acute promyelocytic leukemia,disease,http://www.wikidata.org/entity/Q871,arsenic,drug,can be treated by
http://www.wikidata.org/entity/Q544006,anxiety disorder,disease,http://www.wikidata.org/entity/Q61387,nortriptyline,drug,can be treated by
http://www.wikidata.org/entity/Q804521,bacterial vaginosis,disease,http://www.wikidata.org/entity/Q47512,acetic acid,drug,can be treated by
